No.,カテゴリ,サービス名,登録メールアドレス,管理責任者,2段階認証,2FA管理者（認証アプリ保有者）,復旧先メール,アクセス権限（名前と役割）,パスワード管理,パスワード保管場所,パスワード共有方法,PW最終更新日,最終確認日,危険度,緊急時対応,引継ぎ・対応メモ
1,インフラ,ドメイン管理（お名前.com）,admin@example.com,山田 太郎,有り,山田 太郎,backup@example.com,山田 太郎（管理者のみ）,有り,1Password（代表vault）,PWマネージャーで管理者と共有,2026-01-15,2026-05-01,高,山田に連絡→連絡不能時は田中が1Passwordで確認,更新期限を毎年カレンダー登録。失効するとサイト全停止
2,インフラ,サーバー（さくらインターネット）,admin@example.com,山田 太郎,有り,山田 太郎,backup@example.com,山田 太郎（管理者のみ）,有り,1Password（代表vault）,PWマネージャーで管理者と共有,2026-01-15,2026-05-01,高,山田に連絡→連絡不能時は田中が1Passwordで確認,ドメインと紐づき。支払いクレカの確認も必須
3,業務・情報共有,Google Workspace（管理者コンソール）,admin@example.com,山田 太郎,有り,山田 太郎,backup@example.com,山田 太郎（管理者）,有り,1Password（代表vault）,管理者のみ／引継ぎ時に口頭で共有,2025-12-01,2026-05-01,高,山田に連絡→不能時は管理コンソールの緊急連絡先へ,組織全体の中核。引継ぎ最優先で対応
4,業務・情報共有,Gmail（代表アドレス）,info@example.com,山田 太郎,有り,山田 太郎,backup@example.com,山田 太郎（フル権限）,有り,1Password（共有vault）,PWマネージャーで担当者全員と共有,2025-12-01,2026-05-01,高,山田→田中の順で対応。不能時はGoogleアカウントの緊急復旧フローへ,他サービスの復旧先に使用。乗っ取りリスク最大
5,経理・会計,freee,info@example.com,山田 太郎,有り,山田 太郎,backup@example.com,山田 太郎（管理者）／田中 花子（閲覧のみ）,有り,1Password（経理vault）,管理者のみ知っている／閲覧者はSSO,2026-02-01,2026-04-15,高,山田→税理士（佐藤先生）の順で連絡,退職者の閲覧権限は即削除。税理士との共有設定も確認
6,業務・情報共有,Notion,info@example.com,山田 太郎,有り,山田 太郎,backup@example.com,山田 太郎（管理者）／田中 花子（編集者）,有り,1Password（代表vault）,管理者のみ／スタッフはGoogleログイン,2025-11-01,2026-04-10,中,山田に連絡。ページ単位で権限変更可能,社内マニュアル格納。退職者のアクセス確認要
7,コミュニケーション,ChatWork,info@example.com,山田 太郎,有り,山田 太郎,backup@example.com,山田 太郎（管理者）／スタッフ全員（メンバー）,有り,1Password（代表vault）,管理者のみ知っている,2025-10-01,2026-03-20,中,山田に連絡→退職者のアカウント削除は管理者画面から即対応,退職者のアカウント削除を徹底すること
8,コミュニケーション,Slack,info@example.com,山田 太郎,有り,山田 太郎,backup@example.com,山田 太郎（管理者）,有り,1Password（代表vault）,管理者のみ知っている,2025-10-01,2026-04-01,中,山田に連絡。外部連携の停止も同時に確認,外部連携ツール多数あり。退職時の権限整理を忘れずに
9,SNS,X（Twitter）,sns@example.com,山田 太郎,有り,山田 太郎,backup@example.com,山田 太郎（フル権限）,有り,1Password（SNS vault）,SNS担当者のみ共有（現在：田中）,2026-01-01,2026-05-01,中,山田→田中の順で対応。不正ログイン疑いは即PW変更,SNS運用アカウント。パスワード共有は最小限に
10,SNS,Instagram,sns@example.com,田中 花子,有り,田中 花子,backup@example.com,田中 花子（フル権限）,有り,田中のiCloudキーチェーン,担当者のみ知っている／退職時は即変更,2026-01-01,2026-04-20,中,田中→山田の順で対応。退職時はPW即変更＋2FA再設定,担当者退職時の引継ぎ手順を事前に決めておく
11,SNS,LINE公式アカウント,info@example.com,山田 太郎,有り,山田 太郎,backup@example.com,山田 太郎（管理者）／田中 花子（スタッフ）,有り,1Password（SNS vault）,管理者のみ知っている,2025-12-01,2026-03-15,中,山田に連絡。スタッフ権限は管理画面から個別削除,スタッフ権限は限定的。変更は管理者承認制
12,デザイン・制作,Canva,info@example.com,田中 花子,無し,未設定,backup@example.com,田中 花子（管理者）,有り,田中のメモアプリ（非推奨）,担当者のみ知っている,2025-06-01,2026-02-28,中,田中に連絡→不能時はCanvaサポートへ,【要対応】2FA未設定＋パスワード管理が非標準。早急に1Passwordへ移行
13,デザイン・制作,Adobe Creative Cloud,info@example.com,田中 花子,有り,田中 花子,backup@example.com,田中 花子（管理者）,有り,1Password（制作vault）,担当者のみ知っている,2025-12-01,2026-04-05,中,田中に連絡。退職時は即解約＋PWマネージャーから削除,個人ライセンス。退職時は即時解約・引継ぎ確認
14,会議・コミュニケーション,Zoom,info@example.com,山田 太郎,有り,山田 太郎,backup@example.com,山田 太郎（管理者）,有り,1Password（代表vault）,管理者のみ知っている,2025-09-01,2026-04-01,低,山田に連絡。録画データはクラウドに保存されている,会議用。録画データの保管場所を記録しておく
15,自動化・連携,Make（旧Integromat）,info@example.com,山田 太郎,有り,山田 太郎,backup@example.com,山田 太郎（管理者）,有り,1Password（代表vault）,管理者のみ知っている,2026-01-15,2026-05-01,高,山田に連絡→不能時はシナリオ一覧をNotionで確認→Make社サポートへ,自動化の中核。停止すると複数業務に影響。緊急連絡先を別途周知
